	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Nelfe	192.199649461791	0.0276956183171164	0.0810092240079431	0.341882281385645	0.732439484468427	0.821579784363898
Mtcl2	141.248644358063	0.0355916947568479	0.104207825593436	0.34154531633457	0.732693096002269	0.821807818412819
Gm6710	6.09765584726536	-0.28163383260567	0.82704032227087	-0.340532166354798	0.733455803383095	0.822606797201807
1700024B05Rik	2.80187154935825	0.138777752001419	0.407979669482534	0.340158499018932	0.733737169603078	0.822865855521354
Marchf3	1.86482403153237	-0.259495535314828	0.763549132068538	-0.339854404145318	0.733966175141238	0.823030041715933
Kdm2a	367.077023666069	-0.0266181178522683	0.0783276861515654	-0.339830258751188	0.733984359392148	0.823030041715933
Gm4755	0.779172971399848	0.358503029160091	1.05559070776094	0.339623138517889	0.734140350810119	0.823077010055282
Nuggc	11.9883949113579	0.0910348063487615	0.268085404243848	0.339573900360338	0.734177435861214	0.823077010055282
Ikbkg	262.388303849635	-0.0360319579609052	0.106105792963356	-0.33958520976653	0.734168917820969	0.823077010055282
Fgfr2	3.86630976077646	-0.158143583651543	0.465941201379424	-0.339406738840344	0.734303342710021	0.823161657844743
Gm53778	52.3175820583024	0.0586590588014506	0.173053430125105	0.338965016521454	0.734636084424624	0.823472429781202
Cdpf1	36.9770992854196	-0.0575822040505875	0.16990669714154	-0.338904852011919	0.734681409156374	0.823472429781202
Nos3	3.69645355326658	-0.17050097021634	0.503313588434125	-0.338756938287304	0.734792843394108	0.823540812401357
Tmem234	205.209265040373	-0.0297947451758331	0.0880265463200795	-0.338474544570843	0.735005606759837	0.823722745460898
Napg	84.7115004598941	-0.0355296875785215	0.105052485594947	-0.338208918878076	0.735205755187333	0.823890516928744
Gm14269	7.6166002385097	0.116807683681596	0.34545239074979	0.338129614411032	0.735265514430647	0.823900952430966
Gm57829	0.860834713004389	0.354073515315792	1.04918307594337	0.337475435349954	0.735758526899903	0.82437361742816
Plrg1	237.589667262027	-0.0251149228025	0.0744287092515986	-0.337435957912445	0.735788281977118	0.82437361742816
Shisa9	0.485655214370862	0.593749521087727	1.76104852991993	0.33715681936075	0.735998686605197	0.824552788423383
Ckmt1	1.79375932772161	-0.251010039549404	0.745048594562993	-0.336904252126848	0.736189079792384	0.824709517193856
Slc24a2	0.75020000379362	0.344448398527924	1.02306822450691	0.336681748369166	0.736356823602035	0.824840853434049
Lhfpl6	77.7653972215438	-0.0725779864269215	0.215800318955823	-0.336320107301505	0.736629488728552	0.825089692744991
Mnd1	53.3948649785359	0.0521084465398465	0.155377517018756	0.335366709030087	0.737348477647644	0.825781755258953
