sample,score,signature,n_genes,genotype,tnf,group,n_replicates,exploratory,condition
BD13,0.9887677000658829,Inflammaging,18,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,0.42147102917049356,Inflammaging,18,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,0.734260599177663,cGAS_STING,11,WT,basal,WT_basal,3,FALSE,WT
BD03,0.6975968970976927,cGAS_STING,11,WT,basal,WT_basal,3,FALSE,WT
BD04,0.27705866397192264,cGAS_STING,11,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.39940824526139823,cGAS_STING,11,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.3227101671796112,cGAS_STING,11,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.47358272123463707,cGAS_STING,11,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.22731410205617542,cGAS_STING,11,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.25756845861994815,cGAS_STING,11,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.24128993071167806,cGAS_STING,11,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.9199391590455833,cGAS_STING,11,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,-0.6393301196452466,cGAS_STING,11,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,-0.17539686856593242,cGAS_STING,11,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,0.4570242778837415,cGAS_STING,11,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,-0.3492789839019766,cGAS_STING,11,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,0.036743252876083106,Rho_Activity,24,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.05012376337524793,Rho_Activity,24,WT,basal,WT_basal,3,FALSE,WT
BD04,0.06817974768491199,Rho_Activity,24,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.10828849029637812,Rho_Activity,24,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,0.041757957571650656,Rho_Activity,24,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.08093362564065433,Rho_Activity,24,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,0.16149181367975485,Rho_Activity,24,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,0.10999174225087312,Rho_Activity,24,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.10654681114166707,Rho_Activity,24,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.0967523482380057,Rho_Activity,24,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.2186121240044846,Rho_Activity,24,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,-0.08008728675726205,Rho_Activity,24,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,5.409175405847964e-4,Rho_Activity,24,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,-0.3080899266351393,Rho_Activity,24,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,0.19057866370047252,Mito_Stress,18,WT,basal,WT_basal,3,FALSE,WT
BD03,0.2355305632515374,Mito_Stress,18,WT,basal,WT_basal,3,FALSE,WT
BD04,-0.047812475610819416,Mito_Stress,18,WT,basal,WT_basal,3,FALSE,WT
BD02,0.2811515457345687,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,0.282427141822763,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,0.08398225126487734,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,0.3529268416186707,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,0.23705593310958337,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,0.3494318837499503,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.13100165323616508,Mito_Stress,18,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.2247470005047217,Mito_Stress,18,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,-0.7537539727740231,Mito_Stress,18,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,-0.7752614054344528,Mito_Stress,18,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,-0.7920056241740202,Mito_Stress,18,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,0.11853952920632821,sen_core,15,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.10420757284374452,sen_core,15,WT,basal,WT_basal,3,FALSE,WT
BD04,0.06838041870205624,sen_core,15,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.241114263651027,sen_core,15,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.19697792285995372,sen_core,15,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.19964528263288012,sen_core,15,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,0.08574305830308532,sen_core,15,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,0.0406073705801465,sen_core,15,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.43474191045982474,sen_core,15,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.3851673067318013,sen_core,15,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.21806773049362463,sen_core,15,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.005945225556571998,sen_core,15,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,0.44538510284262256,sen_core,15,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,-0.19114878996880524,sen_core,15,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,0.3477723754668861,sen_sasp,26,WT,basal,WT_basal,3,FALSE,WT
BD03,0.04130319296067298,sen_sasp,26,WT,basal,WT_basal,3,FALSE,WT
BD04,-0.3916098258093613,sen_sasp,26,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.2994343388466775,sen_sasp,26,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.3237600388094931,sen_sasp,26,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.35921940586423073,sen_sasp,26,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.20067186762970676,sen_sasp,26,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.2220538346602764,sen_sasp,26,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.19143402724499556,sen_sasp,26,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.351367139951976,sen_sasp,26,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.1952084361555892,sen_sasp,26,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.013286858476354387,sen_sasp,26,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,1.255173716118714,sen_sasp,26,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,-0.21592838026545097,sen_sasp,26,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,-0.015639430109886922,sen_ddr,26,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.13267700031431812,sen_ddr,26,WT,basal,WT_basal,3,FALSE,WT
BD04,-0.11805901246841392,sen_ddr,26,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.07525818674893162,sen_ddr,26,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.08733341343711355,sen_ddr,26,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.04874936622100361,sen_ddr,26,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.18412861470315775,sen_ddr,26,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.2360369010706583,sen_ddr,26,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.36242544028323287,sen_ddr,26,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,-0.014747741730746156,sen_ddr,26,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.25971377478368096,sen_ddr,26,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.4872514742617868,sen_ddr,26,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,6.53070623783208e-4,sen_ddr,26,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,0.5274367874182105,sen_ddr,26,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,0.38469275666656577,sen_mitochondria,32,WT,basal,WT_basal,3,FALSE,WT
BD03,0.35341498972132807,sen_mitochondria,32,WT,basal,WT_basal,3,FALSE,WT
BD04,0.033929999773130055,sen_mitochondria,32,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.18179758860008308,sen_mitochondria,32,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.15677528729461915,sen_mitochondria,32,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.2351866640168867,sen_mitochondria,32,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,0.1283091227893867,sen_mitochondria,32,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
