sample_id,score,module,n_genes,genotype,tnf,group,n_replicates,exploratory,category
BD04,-0.047812475610819416,Mito_Stress,18,WT,basal,WT_basal,3,FALSE,Mitochondria
BD02,0.2811515457345687,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Mitochondria
BD05,0.282427141822763,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Mitochondria
BD20,0.08398225126487734,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Mitochondria
BD06,0.3529268416186707,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Mitochondria
BD07,0.23705593310958337,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Mitochondria
BD08,0.3494318837499503,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Mitochondria
BD09,0.13100165323616508,Mito_Stress,18,DKO,basal,DKO_basal,2,FALSE,Mitochondria
BD57,0.2247470005047217,Mito_Stress,18,DKO,basal,DKO_basal,2,FALSE,Mitochondria
BD12,-0.7537539727740231,Mito_Stress,18,WT,TNF12h,WT_TNF12h,1,TRUE,Mitochondria
BD13,-0.7752614054344528,Mito_Stress,18,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Mitochondria
BD14,-0.7920056241740202,Mito_Stress,18,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Mitochondria
BD01,0.13314674418134542,Tysh_DNAmAge,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD03,-0.10860939475599342,Tysh_DNAmAge,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD04,0.2831314741416437,Tysh_DNAmAge,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD02,-0.02851897165085468,Tysh_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD05,-0.13787127640675495,Tysh_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD20,-0.14662980047766033,Tysh_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
