"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","class","is_target","sig"
"Ptpra",171.181818181818,-0.15681397025538,0.173448632130593,-0.904094591748129,0.365945245891559,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptprt",121.818181818182,-0.241200059564832,0.211357278971482,-1.14119589700706,0.253788411388266,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptpn1",188,-0.028314203839613,0.14379554617042,-0.196905986267866,0.843901109027911,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp3ca",610.181818181818,0.0973754791219671,0.143995414827299,0.676240137498504,0.498888192851308,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPP",FALSE,"NS"
"Ptpn3",35.5454545454545,-0.190822083955347,0.299357674812974,-0.637438422364033,0.52383930785139,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptpru",8.27272727272727,1.19344503559535e-06,0.547251824942193,2.18079681273136e-06,0.999998259975893,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptpn12",121.090909090909,-0.0692625727432889,0.172533046401854,-0.401445254620768,0.688092336537866,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppm1g",577,-0.0583850693612293,0.1382853732109,-0.422207121444331,0.67287384393943,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ppp1cb",815.727272727273,0.125841028394923,0.110306542138102,1.14083014439318,0.253940613676368,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPP",FALSE,"NS"
"Ssh1",53.9090909090909,-0.184839461023537,0.277024370165159,-0.667231770668184,0.504624100421012,0.999999972400712,"genotype_PPM1B_KO_vs_WT","Slingshot",FALSE,"NS"
"Ptpn11",440.727272727273,-0.157701929415005,0.128885477818211,-1.2235818347001,0.221110015688058,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp1cc",435,0.0338959382768115,0.123065280104093,0.275430553996555,0.782985472809088,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPP",FALSE,"NS"
"Dusp16",59.0909090909091,-0.131789701737402,0.297585188889828,-0.442863780381869,0.657864266841143,0.999999972400712,"genotype_PPM1B_KO_vs_WT","DUSP",FALSE,"NS"
"Ptpre",46.7272727272727,0.258152364437782,0.243583487936101,1.05981060795674,0.289230769853564,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppp2cb",337.545454545455,0.340798955098143,0.148383267018416,2.29674788772406,0.021633155917158,0.528974481999932,"genotype_PPM1B_KO_vs_WT","PPP",FALSE,"NS"
"Dusp4",857.909090909091,0.732266558441829,0.381752458799668,1.91817116448777,0.0550893112514152,0.811883008517492,"genotype_PPM1B_KO_vs_WT","DUSP",FALSE,"NS"
"Acp5",11.0909090909091,0.289505059128118,0.806414116540277,0.359002965337672,0.719592870935489,0.999999972400712,"genotype_PPM1B_KO_vs_WT","ACP/ALP",FALSE,"NS"
"Ptpn9",60.3636363636364,0.160464837939505,0.248257919698759,0.646363419681499,0.518044024758604,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptpn23",264.727272727273,0.0229612488279172,0.182246819578577,0.125989846522492,0.899739961829973,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptprk",190.818181818182,-0.136662384245274,0.189176995609451,-0.722404877004226,0.470045589325108,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Dusp6",39.1818181818182,0.302562993629952,0.281116170524048,1.076291673531,0.281796831335737,0.999999972400712,"genotype_PPM1B_KO_vs_WT","DUSP",FALSE,"NS"
"Ptprq",58.5454545454545,-0.239006986696615,0.273583673407993,-0.873615679325227,0.382327584548365,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppm1h",47.2727272727273,0.21681156867163,0.28275101990499,0.766793232945659,0.443204460422473,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ppp2ca",1002,0.17066408673041,0.0961390627078481,1.77517943199667,0.0758682647175899,0.919722261925286,"genotype_PPM1B_KO_vs_WT","PPP",FALSE,"NS"
"Ssh2",47.6363636363636,-0.330916659239708,0.25927234340485,-1.27632841549546,0.201839449418659,0.999999972400712,"genotype_PPM1B_KO_vs_WT","Slingshot",FALSE,"NS"
"Ppm1d",52.3636363636364,-0.120797880769099,0.22152813014243,-0.545293641450561,0.585551576609916,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPM/PP2C",TRUE,"NS"
"Acp1",296.636363636364,0.124716564344951,0.13517914542749,0.92260210663818,0.35621459745069,0.999999972400712,"genotype_PPM1B_KO_vs_WT","ACP/ALP",FALSE,"NS"
"Ppm1a",386.909090909091,0.0494836542061735,0.153564520992748,0.322233637602465,0.747275703276287,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ptpn21",131.818181818182,0.118239225442633,0.208768208878345,0.566366048154079,0.571144969925838,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
